,FIPS Code,Area_Population,gdp_per_capita
0,6,62.1,57904.20196
1,37,62.0,57904.20196
2,8,66.8,57904.20196
3,9,65.6,57904.20196
4,10,62.4,57904.20196
5,11,69.9,57904.20196
6,12,59.2,57904.20196
7,13,60.7,57904.20196
8,15,61.9,57904.20196
9,16,63.9,57904.20196
10,17,65.5,57904.20196
11,18,64.8,57904.20196
12,19,70.1,57904.20196
13,20,67.8,57904.20196
14,21,57.8,57904.20196
15,22,59.7,57904.20196
16,23,62.9,57904.20196
17,24,66.8,57904.20196
18,25,65.0,57904.20196
19,26,60.9,57904.20196
20,27,70.3,57904.20196
21,28,55.7,57904.20196
22,29,64.7,57904.20196
23,30,63.6,57904.20196
24,31,70.3,57904.20196
25,32,62.2,57904.20196
26,33,68.5,57904.20196
27,34,64.1,57904.20196
28,35,58.2,57904.20196
29,36,60.8,57904.20196
30,51000,60.0,57904.20196
31,37,61.2,57904.20196
32,38,70.8,57904.20196
33,39,62.8,57904.20196
34,40,61.4,57904.20196
35,41,62.2,57904.20196
36,42,63.2,57904.20196
37,44,64.5,57904.20196
38,45,59.2,57904.20196
39,46,69.8,57904.20196
40,47,59.9,57904.20196
41,48,63.8,57904.20196
42,49,68.2,57904.20196
43,50,67.0,57904.20196
44,51,64.9,57904.20196
45,53,63.6,57904.20196
46,54,53.4,57904.20196
47,55,68.2,57904.20196
48,56,66.9,57904.20196
49,1,56.3,57904.20196
50,2,66.4,57904.20196
51,4,60.4,57904.20196
52,5,58.3,57904.20196
53,6,62.2,57904.20196
54,37,62.1,57904.20196
55,8,66.9,57904.20196
56,9,65.7,57904.20196
57,10,62.4,57904.20196
58,11,70.0,57904.20196
59,12,59.2,57904.20196
60,13,60.7,57904.20196
61,15,61.9,57904.20196
62,16,63.9,57904.20196
63,17,65.6,57904.20196
64,18,64.9,57904.20196
65,19,70.2,57904.20196
66,20,67.7,57904.20196
67,21,57.9,57904.20196
68,22,59.6,57904.20196
69,23,63.1,57904.20196
70,24,66.8,57904.20196
71,25,65.1,57904.20196
72,26,61.0,57904.20196
73,27,70.3,57904.20196
74,28,55.7,57904.20196
75,29,64.7,57904.20196
76,30,63.6,57904.20196
77,31,70.4,57904.20196
78,32,62.2,57904.20196
79,33,68.6,57904.20196
80,34,64.1,57904.20196
81,35,58.3,57904.20196
82,36,60.8,57904.20196
83,51000,60.0,57904.20196
84,37,61.3,57904.20196
85,38,70.8,57904.20196
86,39,62.9,57904.20196
87,40,61.4,57904.20196
88,41,62.3,57904.20196
89,42,63.3,57904.20196
90,44,64.5,57904.20196
91,45,59.2,57904.20196
92,46,69.8,57904.20196
93,47,59.9,57904.20196
94,48,63.8,57904.20196
95,49,68.3,57904.20196
96,50,67.1,57904.20196
97,51,64.9,57904.20196
98,53,63.7,57904.20196
99,54,53.5,57904.20196
100,55,68.2,57904.20196
101,56,67.0,57904.20196
102,1,56.3,57904.20196
103,2,66.4,57904.20196
104,4,60.4,57904.20196
105,5,58.3,57904.20196
106,6,62.2,57904.20196
107,37,62.2,57904.20196
108,8,66.9,57904.20196
109,9,65.7,57904.20196
110,10,62.4,57904.20196
111,11,70.0,57904.20196
112,12,59.2,57904.20196
113,13,61.1,57904.20196
114,15,62.0,57904.20196
115,16,63.9,57904.20196
116,17,65.6,57904.20196
117,18,65.0,57904.20196
118,19,70.1,57904.20196
119,20,67.7,57904.20196
120,21,58.0,57904.20196
121,22,59.6,57904.20196
122,23,63.2,57904.20196
123,24,66.8,57904.20196
124,25,65.1,57904.20196
125,26,61.1,57904.20196
126,27,70.2,57904.20196
127,28,55.7,57904.20196
128,29,64.7,57904.20196
