FIPS Code,State/Area,year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Area_Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Unemployment_rate
6,California,2016,1,"30,446,733   ","18,917,326   ",62.1,"17,843,140   ",58.6,"1,074,186   ",5.7
37,Los Angeles County,2016,1,"8,020,680   ","4,974,853   ",62.0,"4,694,698   ",58.5,"280,155   ",5.6
8,Colorado,2016,1,"4,283,491   ","2,862,652   ",66.8,"2,767,788   ",64.6,"94,864   ",3.3
9,Connecticut,2016,1,"2,873,756   ","1,885,910   ",65.6,"1,787,016   ",62.2,"98,894   ",5.2
10,Delaware,2016,1,"750,671   ","468,654   ",62.4,"447,512   ",59.6,"21,142   ",4.5
11,District of Columbia,2016,1,"561,777   ","392,658   ",69.9,"367,573   ",65.4,"25,085   ",6.4
12,Florida,2016,1,"16,458,012   ","9,746,916   ",59.2,"9,252,093   ",56.2,"494,823   ",5.1
13,Georgia,2016,1,"7,828,808   ","4,752,310   ",60.7,"4,481,522   ",57.2,"270,788   ",5.7
15,Hawaii,2016,1,"1,091,566   ","675,700   ",61.9,"655,187   ",60.0,"20,513   ",3.0
16,Idaho,2016,1,"1,260,815   ","805,322   ",63.9,"774,854   ",61.5,"30,468   ",3.8
17,Illinois,2016,1,"10,050,720   ","6,579,309   ",65.5,"6,171,894   ",61.4,"407,415   ",6.2
18,Indiana,2016,1,"5,133,138   ","3,324,395   ",64.8,"3,170,641   ",61.8,"153,754   ",4.6
19,Iowa,2016,1,"2,437,374   ","1,708,738   ",70.1,"1,646,660   ",67.6,"62,078   ",3.6
20,Kansas,2016,1,"2,210,492   ","1,497,864   ",67.8,"1,438,842   ",65.1,"59,022   ",3.9
21,Kentucky,2016,1,"3,452,439   ","1,996,889   ",57.8,"1,893,069   ",54.8,"103,820   ",5.2
22,Louisiana,2016,1,"3,578,098   ","2,134,557   ",59.7,"2,005,777   ",56.1,"128,780   ",6.0
23,Maine,2016,1,"1,092,946   ","687,907   ",62.9,"660,486   ",60.4,"27,421   ",4.0
24,Maryland,2016,1,"4,707,890   ","3,145,817   ",66.8,"3,004,440   ",63.8,"141,377   ",4.5
25,Massachusetts,2016,1,"5,525,824   ","3,594,084   ",65.0,"3,436,899   ",62.2,"157,185   ",4.4
26,Michigan,2016,1,"7,900,971   ","4,808,822   ",60.9,"4,571,961   ",57.9,"236,861   ",4.9
27,Minnesota,2016,1,"4,301,291   ","3,022,956   ",70.3,"2,908,419   ",67.6,"114,537   ",3.8
28,Mississippi,2016,1,"2,282,454   ","1,271,520   ",55.7,"1,191,631   ",52.2,"79,889   ",6.3
29,Missouri,2016,1,"4,746,243   ","3,068,547   ",64.7,"2,931,518   ",61.8,"137,029   ",4.5
30,Montana,2016,1,"819,668   ","521,545   ",63.6,"498,852   ",60.9,"22,693   ",4.4
31,Nebraska,2016,1,"1,447,160   ","1,018,062   ",70.3,"987,626   ",68.2,"30,436   ",3.0
32,Nevada,2016,1,"2,259,069   ","1,405,588   ",62.2,"1,317,857   ",58.3,"87,731   ",6.2
33,New Hampshire,2016,1,"1,093,720   ","749,043   ",68.5,"727,313   ",66.5,"21,730   ",2.9
34,New Jersey,2016,1,"7,021,689   ","4,497,590   ",64.1,"4,273,085   ",60.9,"224,505   ",5.0
35,New Mexico,2016,1,"1,614,852   ","940,030   ",58.2,"878,770   ",54.4,"61,260   ",6.5
36,New York,2016,1,"15,726,323   ","9,554,664   ",60.8,"9,092,379   ",57.8,"462,285   ",4.8
51000,New York city,2016,1,"6,807,392   ","4,083,880   ",60.0,"3,871,169   ",56.9,"212,711   ",5.2
37,North Carolina,2016,1,"7,857,596   ","4,810,316   ",61.2,"4,555,925   ",58.0,"254,391   ",5.3
38,North Dakota,2016,1,"581,531   ","411,466   ",70.8,"398,799   ",68.6,"12,667   ",3.1
39,Ohio,2016,1,"9,143,345   ","5,743,731   ",62.8,"5,457,717   ",59.7,"286,014   ",5.0
40,Oklahoma,2016,1,"2,982,968   ","1,832,930   ",61.4,"1,751,007   ",58.7,"81,923   ",4.5
