Geographic Area Name,Total Population,Total Population  - Uninsured,Total population - Uninsured %,Total population - Under 18,Under 18 - Uninsured,Under 18 - Uninsured %,Total Population - 18 to 64,Uninsured - 18 to 64,Uninsured % - 18 to 64,Total Population - 65+,Uninsured - 65+,Uninsured % - 65+,Total Population - 19 to 25,Uninsured- 19 to 25,Uninsured% - 19 to 25,Total Population - Male,Uninsured - Male,Uninsured % - Male,Total Population - Female,Uninsured - Female,Uninsured % - Female,Total Population - One Race,Uninsured - One Race,Uninsured % - One Race,Total Population - White,Uninsured - White,Uninsured % - White,Total Population - Black or African American,Uninsured - Black or African American,Uninsured % - Black or African American,Total Population - American Indian or Alaska Native,Uninsured - American Indian or Alaskan Native,Uninsured % - American Indian or Alaskan Native,Total Population - Asian,Uninsured - Asian,Uninsured % - Asian,Total Population - Native Hawaiian and Other Pacific Islander ,Uninsured - Native Hawaiian and Other Pacific Islander ,Uninsured % - Native Hawaiian and Other Pacific Islander ,Total Population - other race,Uninsured - other race,Uninsured % - other race,Total Population - 2 or more races,Uninsured - 2 or more races,Uninsured % - 2 or more races,Total Population - Native Born,Uninsured - Native Born,Uninsured % - Native Born,Total Population - Foreign Born,Uninsured - Foreign Born,Uninsured % - Foreign Born,Total Population - Naturalized,Uninsured - Naturalized,Uninsured % - Naturalized,Total Population - Not A Citizen,Uninsured - Not A Citizen,Uninsured % - Not A Citizen,Total Population - 25+,Uninsured  - 25+ ,Uninsured % - 25+,Total Population - Less than high school graduate,Uninsured  - Less than high school graduate ,Uninsured % - Less than high school graduate,Total Population - High School Graduate,Uninsured  - High School Graduate ,Uninsured % - High School Gradute,Total Population - Associate Degree,Uninsured  - Associate Degree ,Uninsured % - Associate Degree,Total Population - Bachelor's degree+,Uninsured  - Bachelor's Degree+ ,Uninsured % - Bachelor's Degree+,Total Population - 18+,Uninsured  - 18+ ,Uninsured % - 18+,Total Population - Labor Force,Uninsured  - Labor Force ,Uninsured % - Labor Force,Total Population - Employed,Uninsured  - Employed ,Uninsured % - Employed,Total Population - Unemployed,Uninsured  - Unemployed ,Uninsured % - Unemployed,Total Population - Not In Labor Force,Uninsured  - Not In Labor Force ,Uninsured % - Not In Labor Force,Total Population - Worked Full Time,Uninsured % - Worked Full Time,Uninsured - Part Time,Uninsured % - Part Time,Total Population - Not Working,Uninsured - Not Working,Uninsured % - Not Working,Total Population - Civilian Household,Uninsured - Civilian Household,Uninsured % - Civilian Household,Total Population - Income < $25000,Uninsured - Income < $25000,Uninsured % - Income < $25000,Total Population - Income between $25000 and $49999,Uninsured - Income between $25000 and $49999,Uninsured % - Income between $25000 and $49999,"Total Population - Income between $50,000 and $74,999","Uninsured- Income between $50,000 and $74,999","Uninsured%- Income between $50,000 and $74,999","Total Population - Income between $75,000 and $99,999","Uninsured - Income between $75,000 and $99,999","Uninsured % - Income between $75,000 and $99,999","Total Population - Income is $100,000 and over","Uninsured- Income is $100,000 and over","Uninsured %- Income is $100,000 and over",Total Population - Poverty Index,Uninsured - Poverty Index,Uninsured % - Poverty Index,Total Population - Poverty Threshold < 1.38,Uninsured - Poverty Threshold < 1.38,Uninsured % - Poverty Threshold < 1.38,Total Population - Poverty Threshold Between 1.38 and 1.99,Uninsured - Poverty Threshold Between 1.38 and 1.99,Uninsured% - Poverty Threshold Between 1.38 and 1.99,Total Population - Poverty Threshold > 2.0,Uninsured - Poverty Threshold > 2.0,Uninsured% - Poverty Threshold > 2.0
Alabama,4693822,654376,13.9,1128220,65095,5.8,2921943,587026,20.1,643659,2255,0.4,462171,140571,30.4,2256713,342928,15.2,2437109,311448,12.8,4628181,644624,13.9,3273898,396975,12.1,1222816,206590,16.9,25721,5003,19.5,54525,10651,19.5,1237,180,14.6,49984,25225,50.5,65641,9752,14.9,4528512,577258,12.7,165310,77118,46.7,50326,10050,20,114984,67068,58.3,3095257,460950,14.9,525256,134344,25.6,970851,169069,17.4,902401,124524,13.8,696749,33013,4.7,3565602,589281,16.5,2218508,428929,19.3,1998971,312656,15.6,219537,116273,53,1347094,160352,11.9,1445968,12,235188,28.8,1302995,180525,13.9,4648276,647988,13.9,1107597,256800,23.2,1162275,209538,18,881584,96225,10.9,598966,44928,7.5,897854,40497,4.5,4647829,650582,14,1237718,324003,26.2,588195,113378,19.3,2821916,213201,7.6
Alaska,686905,134111,19.5,186233,23395,12.6,446229,109933,24.6,54443,783,1.4,69235,24325,35.1,349855,74390,21.3,337050,59721,17.7,631386,120290,19.1,460307,69430,15.1,22037,3312,15,97025,34967,36,37415,9528,25.5,7191,1545,21.5,7411,1508,20.3,55519,13821,24.9,638436,120360,18.9,48469,13751,28.4,25067,4982,19.9,23402,8769,37.5,431611,87864,20.4,36377,11896,32.7,117535,35593,30.3,157930,30337,19.2,119769,10038,8.4,500672,110716,22.1,365545,85371,23.4,335599,69563,20.7,29946,15808,52.8,135127,25345,18.8,215967,16,56058,32.4,111944,20105,18,672122,129426,19.3,68392,20451,29.9,117122,31242,26.7,122972,27944,22.7,110874,19896,17.9,252762,29893,11.8,682026,133392,19.6,107140,34901,32.6,70546,20717,29.4,504340,77774,15.4
Arizona,6304406,1068823,17,1622329,213851,13.2,3799152,844938,22.2,882925,10034,1.1,609716,192289,31.5,3099407,577223,18.6,3204999,491600,15.3,6127306,1042034,17,5011454,782682,15.6,249971,39292,15.7,278395,83509,30,176227,24432,13.9,11462,2301,20.1,399797,109818,27.5,177100,26789,15.1,5451825,736714,13.5,852581,332109,39,309530,55102,17.8,543051,277007,51,4066054,667677,16.4,580981,200824,34.6,987045,199534,20.2,1400100,194561,13.9,1097928,72758,6.6,4682077,854972,18.3,2985983,625907,21,2704074,511502,18.9,281909,114405,40.6,1696094,229065,13.5,1899860,16.2,304770,26.9,1647268,242199,14.7,6255229,1061316,17,1196942,294198,24.6,1540140,356397,23.1,1234385,207556,16.8,848223,98722,11.6,1435539,104443,7.3,6253298,1062325,17,1586557,447793,28.2,760246,191239,25.2,3906495,423293,10.8
Arkansas,2862023,482623,16.9,707308,45463,6.4,1748461,435855,24.9,406254,1305,0.3,272785,101826,37.3,1394466,248909,17.8,1467557,233714,15.9,2806726,473244,16.9,2248023,356184,15.8,438410,81386,18.6,17168,3739,21.8,35577,7234,20.3,5446,1536,28.2,62102,23165,37.3,55297,9379,17,2734034,424139,15.5,127989,58484,45.7,37589,9211,24.5,90400,49273,54.5,1875246,340177,18.1,305045,81815,26.8,657447,140888,21.4,535885,93377,17.4,376869,24097,6.4,2154715,437160,20.3,1350530,321172,23.8,1239556,255744,20.6,110974,65428,59,804185,115988,14.4,890751,16.2,174256,34.8,763346,118991,15.6,2829929,478448,16.9,695502,175037,25.2,783530,163739,20.9,556248,78756,14.2,337668,32493,9.6,456981,28423,6.2,2826882,479401,17,793367,222712,28.1,402567,87414,21.7,1630948,169275,10.4
California,36783532,6536932,17.8,9266440,818563,8.8,23312469,5647130,24.2,4204623,71239,1.7,3791549,1297677,34.2,18138870,3563922,19.6,18644662,2973010,15.9,35260022,6332917,18,22935222,3681905,16.1,2156989,328659,15.2,283590,68353,24.1,4892647,681463,13.9,141388,27362,19.4,4850186,1545175,31.9,1523510,204015,13.4,26760282,3377853,12.6,10023250,3159079,31.5,4644450,736524,15.9,5378800,2422555,45,23707073,4512771,19,4456908,1651668,37.1,4869258,1157190,23.8,7082327,1111402,15.7,7298580,592511,8.1,27517092,5718369,20.8,18510026,4241708,22.9,16517298,3334843,20.2,1992728,906865,45.5,9007066,1476661,16.4,11109709,16.2,2216339,30.1,9044254,1698994,18.8,36412470,6478491,17.8,5625118,1425221,25.3,7507244,1983533,26.4,6449034,1348561,20.9,4912767,739696,15.1,11918307,981480,8.2,36483353,6510527,17.8,8483879,2506796,29.5,4330643,1245377,28.8,23668831,2758354,11.7
Colorado,4949633,757881,15.3,1217961,123566,10.1,3189003,630193,19.8,542669,4122,0.8,474155,137472,29,2457605,418203,17,2492028,339678,13.6,4787163,734152,15.3,4175755,588914,14.1,188778,33957,18,46877,12706,27.1,135320,21224,15.7,5588,1251,22.4,234845,76100,32.4,162470,23729,14.6,4467009,564628,12.6,482624,193253,40,172331,28121,16.3,310293,165132,53.2,3257328,505021,15.5,318684,120760,37.9,721048,153316,21.3,1007619,152574,15.1,1209977,78371,6.5,3731672,634315,17,2678180,504019,18.8,2471082,412863,16.7,207098,91156,44,1053492,130296,12.4,1710880,13.3,273214,25.9,964402,133465,13.8,4905236,752808,15.3,743053,205368,27.6,1023015,245551,24,928994,150528,16.2,721683,73274,10.2,1488491,78087,5.2,4905876,754138,15.4,949338,295368,31.1,506287,136288,26.9,3450251,322482,9.3
Connecticut,3514027,309481,8.8,811021,28798,3.6,2216175,276775,12.5,486831,3908,0.8,312913,61970,19.8,1703559,178588,10.5,1810468,130893,7.2,3428334,301907,8.8,2763316,196656,7.1,344719,44248,12.8,8091,1550,19.2,137887,15388,11.2,1432,229,16,172889,43836,25.4,85693,7574,8.8,3036705,195292,6.4,477322,114189,23.9,223571,20388,9.1,253751,93801,37,2383428,225002,9.4,254802,49543,19.4,657690,84636,12.9,597071,54299,9.1,873865,36524,4.2,2703006,280683,10.4,1908364,225802,11.8,1741051,174428,10,167313,51374,30.7,794642,54881,6.9,1191090,7.5,123024,16.5,765009,67822,8.9,3449352,306045,8.9,430799,62964,14.6,544677,82911,15.2,548532,63108,11.5,498784,38816,7.8,1426560,58246,4.1,3458193,307477,8.9,504017,91244,18.1,272291,48326,17.7,2681885,167907,6.3
Delaware,884582,84434,9.5,205246,10562,5.1,552306,73286,13.3,127030,586,0.5,86234,17669,20.5,425289,47686,11.2,459293,36748,8,863899,82654,9.6,625202,53645,8.6,186762,18446,9.9,2838,608,21.4,29086,2993,10.3,375,0,0,19636,6962,35.5,20683,1780,8.6,810058,63479,7.8,74524,20955,28.1,31778,3000,9.4,42746,17955,42,591135,58793,9.9,70617,15028,21.3,186576,21244,11.4,162944,14491,8.9,170998,8030,4.7,679336,73872,10.9,454107,57839,12.7,417670,46882,11.2,36437,10957,30.1,225229,16033,7.1,298205,9.2,30283,17.8,210823,16301,7.7,872003,83724,9.6,120814,16710,13.8,175697,25261,14.4,166903,17015,10.2,135001,9695,7.2,273588,15043,5.5,871499,83758,9.6,150595,24717,16.4,91150,14988,16.4,629754,44053,7
District of Columbia,594942,40406,6.8,103725,2894,2.8,424471,36800,8.7,66746,712,1.1,84690,8264,9.8,278445,23818,8.6,316497,16588,5.2,582540,39757,6.8,235767,11057,4.7,302711,22962,7.6,2129,7,0.3,21279,1798,8.4,301,0,0,20353,3933,19.3,12402,649,5.2,513490,28829,5.6,81452,11577,14.2,30699,2827,9.2,50753,8750,17.2,409132,30297,7.4,49741,6214,12.5,76827,8670,11.3,70557,6101,8.6,212007,9312,4.4,491217,37512,7.6,343000,28883,8.4,307524,20692,6.7,35476,8191,23.1,148217,8629,5.8,234087,5.7,13490,11.7,141420,10779,7.6,564001,38600,6.8,111461,9574,8.6,98190,10014,10.2,77657,6920,8.9,61553,4373,7.1,215140,7719,3.6,570230,39676,7,137131,13336,9.7,46754,4870,10.4,386345,21470,5.6
Florida,18571056,3806413,20.5,3992736,535167,13.4,11345940,3226916,28.4,3232380,44330,1.4,1699363,671016,39.5,8995372,2008753,22.3,9575684,1797660,18.8,18168378,3727554,20.5,14243245,2671708,18.8,2904481,733766,25.3,56590,18778,33.2,462205,104291,22.6,11294,2750,24.3,490563,196261,40,402678,78859,19.6,14957428,2440926,16.3,3613628,1365487,37.8,1781661,374000,21,1831967,991487,54.1,12875636,2645965,20.6,1782401,587598,33,3829512,968059,25.3,3857157,731217,19,3406566,359091,10.5,14578320,3271246,22.4,9172378,2502766,27.3,8161660,1950075,23.9,1010718,552691,54.7,5405942,768480,14.2,5745011,20,1198411,35.3,5438505,923947,17,18417753,3768663,20.5,3599998,1054324,29.3,4746296,1284565,27.1,3656840,736002,20.1,2398351,346774,14.5,4016268,346998,8.6,18435230,3787786,20.5,4385919,1515689,34.6,2365781,701373,29.6,11683530,1570724,13.4
