State,Number of CoCs,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Year
AK,2,1956,411,197,773,1181,2,1862,94,745,144,18,883,62,2015
AL,8,3970,716,271,1532,2427,11,3901,69,1813,2090,5,19,1,2015
AR,7,2560,417,243,978,1582,0,2143,417,1543,903,7,32,29,2015
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2015
AZ,3,9896,2124,824,3966,5916,14,7516,2380,6697,1761,57,849,57,2015
CA,43,115738,13657,11645,38676,76545,517,84183,31555,64340,32262,2146,4762,1225,2015
CO,3,9953,2528,808,3923,6012,18,7006,2947,6638,1948,90,477,34,2015
CT,3,4047,827,234,1505,2535,7,2923,1124,2164,1570,38,50,124,2015
DC,1,7298,2056,736,3087,4198,13,6914,384,443,6595,62,28,12,2015
DE,1,953,227,81,400,553,0,899,54,369,513,3,11,3,2015
FL,27,35900,6539,2451,12719,23122,59,30912,4988,20921,13165,122,376,112,2015
GA,9,13790,2500,812,4878,8882,30,13089,701,4307,8955,40,30,51,2015
GU,1,1280,520,123,609,671,0,1274,6,11,4,46,1,1191,2015
HI,2,7620,1918,531,3174,4426,20,6679,941,1852,263,477,95,2978,2015
IA,3,3081,1030,318,1409,1668,4,2833,248,1972,803,16,68,17,2015
ID,2,1966,484,160,840,1123,3,1729,237,1733,69,11,109,16,2015
IL,20,13177,3187,1349,5291,7866,20,11378,1799,4690,7798,100,53,20,2015
IN,3,5863,1261,492,2359,3497,7,5647,216,3496,2085,17,44,16,2015
KS,5,2588,705,175,1132,1453,3,2320,268,1664,639,12,108,8,2015
KY,3,4538,861,352,1706,2823,9,4403,135,3088,1193,7,38,15,2015
LA,9,4081,581,443,1373,2694,14,3982,99,1536,2395,21,50,14,2015
MA,16,21135,8583,2047,10602,10528,5,13720,7415,11922,7175,206,100,144,2015
MD,16,8390,1908,664,3245,5139,6,7887,503,3016,4920,58,53,36,2015
ME,2,2372,637,245,1145,1218,9,2297,75,2036,213,6,25,8,2015
MI,21,10516,2686,1224,4309,6203,4,9986,530,4612,5343,29,79,22,2015
MN,10,7546,2607,993,3693,3826,27,6937,609,2641,3466,117,663,29,2015
MO,8,6482,1903,678,3051,3430,1,6229,253,3550,2565,21,41,26,2015
MP,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2015
MS,3,1983,340,105,761,1222,0,1962,21,577,1372,2,10,14,2015
MT,1,1709,374,225,711,996,2,1579,130,1281,38,0,321,5,2015
NC,12,10685,2295,841,4185,6487,13,10147,538,4494,5711,57,173,17,2015
ND,1,1305,265,152,456,843,6,1215,90,774,232,16,184,5,2015
NE,3,2744,635,292,1012,1722,10,2347,397,1831,586,25,119,16,2015
NH,3,1445,382,142,616,826,3,1325,120,1312,64,6,2,1,2015
NJ,16,10098,2404,1074,4156,5930,12,8279,1819,4336,5562,97,23,34,2015
NM,2,2629,701,205,1086,1537,6,1517,1112,1728,213,12,587,17,2015
NV,3,8743,1395,1573,2837,5901,5,7329,1414,4605,3213,235,187,73,2015
NY,27,88250,31005,8944,41697,46412,141,60227,28023,21705,60103,879,822,1368,2015
OH,9,11182,2241,1082,4349,6817,16,10799,383,5532,5084,35,59,18,2015
OK,8,3777,691,467,1535,2237,5,3528,249,2458,732,7,411,11,2015
OR,7,13226,2545,1228,5197,7977,52,11681,1545,10704,847,133,599,164,2015
PA,16,15421,4312,1592,6844,8553,24,13301,2120,6486,8202,77,77,32,2015
PR,2,4518,363,248,1237,3266,15,151,4367,1894,717,1,50,17,2015
RI,1,1111,252,89,418,691,2,831,280,765,287,4,7,2,2015
