Date,State,School,Fatalities,Wounded,Total
3/27/1990,New York,C,0,1,1
5/20/1990,Tennessee,HS,1,,1
8/26/1990,Nevada,HS,1,,1
09/11/1990,Texas,HS,0,3,3
01/08/1991,Texas,HS,0,,0
02/06/1991,Texas,HS,1,0,1
4/23/1991,California,MS,1,,1
4/23/1991,California,MS,1,0,1
9/18/1991,Texas,HS,1,,1
9/18/1991,Texas,HS,1,0,1
10/08/1991,New York,HS,1,,1
11/01/1991,Iowa,C,5,,5
11/01/1991,Iowa,C,6,1,7
11/14/1991,Texas,HS,0,,0
11/25/1991,New York,HS,1,,1
11/25/1991,New York,HS,1,0,1
12/12/1991,Ohio,C,1,0,1
1/29/1992,Ohio,C,0,1,1
2/26/1992,New York,HS,2,,2
2/26/1992,New York,HS,2,0,2
05/01/1992,California,HS,4,,4
05/01/1992,California,HS,3,10,13
5/14/1992,California,MS,0,,0
09/11/1992,Texas,HS,0,,0
10/12/1992,Nebraska,C,0,,0
10/12/1992,Arizona,HS,1,,1
10/19/1992,New York,HS,0,3,3
11/04/1992,Michigan,HS,0,11,11
11/10/1992,Illinois,ES,0,,0
11/13/1992,Texas,HS,1,,1
11/16/1992,Alabama,HS,1,,1
11/20/1992,Illinois,HS,1,,1
11/23/1992,New York,HS,0,,0
12/03/1992,Illinois,ES,1,,1
12/14/1992,Massachusetts,C,2,,2
12/14/1992,Massachusetts,C,2,4,6
01/06/1993,New York,HS,0,1,1
01/08/1993,Pennsylvania,HS,1,,1
01/12/1993,Florida,HS,1,,1
1/18/1993,Kentucky,HS,2,,2
1/18/1993,Kentucky,HS,2,0,2
1/21/1993,California,HS,1,,1
02/01/1993,Washington,MS,1,,1
02/01/1993,New York,HS,1,,1
02/04/1993,Georgia,HS,1,,1
02/08/1993,Minnesota,MS,1,,1
02/08/1993,District of Columbia,HS,1,,1
2/18/1993,Texas,HS,1,,1
2/22/1993,California,HS,1,,1
2/22/1993,California,HS,1,0,1
2/26/1993,Massachusetts,HS,0,,0
3/18/1993,Georgia,HS,1,,1
3/25/1993,Missouri,HS,1,,1
04/03/1993,California,HS,1,,1
4/14/1993,Texas,HS,1,,1
4/15/1993,Massachusetts,MS,1,,1
4/15/1993,Massachusetts,MS,1,0,1
4/16/1993,California,HS,1,,1
4/26/1993,North Carolina,HS,1,,1
5/14/1993,Texas,HS,1,0,1
5/24/1993,Pennsylvania,HS,1,,1
5/24/1993,Pennsylvania,HS,1,0,1
5/27/1993,Louisiana,HS,1,,1
07/08/1993,Utah,C,1,,1
8/31/1993,Georgia,HS,1,,1
09/02/1993,Texas,HS,1,,1
9/17/1993,Wyoming,MS,1,4,5
9/18/1993,Wyoming,MS,1,,1
10/12/1993,Delaware,HS,1,,1
10/14/1993,Michigan,HS,1,,1
11/01/1993,Illinois,HS,1,,1
11/04/1993,Florida,HS,1,,1
11/04/1993,Connecticut,HS,1,,1
11/04/1993,Connecticut,HS,1,0,1
11/05/1993,Mississippi,HS,1,,1
11/29/1993,Missouri,HS,1,,1
12/01/1993,Wisconsin,HS,1,,1
12/01/1993,Wisconsin,HS,1,0,1
12/08/1993,Georgia,HS,1,,1
12/17/1993,Michigan,HS,1,,1
1/20/1994,Texas,HS,0,,0
1/20/1994,California,HS,1,,1
1/24/1994,South Carolina,HS,1,0,1
1/26/1994,South Carolina,HS,1,,1
1/31/1994,Washington,MS,1,,1
1/31/1994,Washington,MS,1,0,1
02/08/1994,Michigan,HS,1,,1
2/14/1994,California,HS,1,,1
2/18/1994,South Carolina,HS,0,1,1
03/01/1994,Missouri,C,2,,2
03/01/1994,Missouri,HS,2,0,2
3/15/1994,South Carolina,HS,1,,1
3/22/1994,Florida,MS,0,,0
3/23/1994,Washington,HS,1,,1
3/25/1994,Georgia,HS,0,,0
04/12/1994,Montana,ES,1,,1
04/12/1994,Montana,ES,1,0,1
4/13/1994,California,ES,0,,0
4/21/1994,Tennessee,MS,1,,1
4/21/1994,Tennessee,MS,1,0,1
05/02/1994,Florida,HS,1,,1
5/25/1994,Kentucky,HS,4,,4
7/25/1994,Iowa,HS,1,,1
09/07/1994,California,HS,1,,1
10/12/1994,North Carolina,HS,1,,1
